id,date,time,competition,tournament,home_team,away_team,home_goals,away_goals,score,opponent,venue,result,played,stadium,stadium_fr,city,belgium_coach,referee,url
9071,2015-10-10,20:45,UEFA EC Qualifiers,France - 2016,Andorra,Belgium,1,4,1-4,Andorra,away,W,true,Estadi Nacional,Estadi Nacional,Andorra La Vella,Marc Wilmots,Pawel Gil,https://www.rbfa.be/en/international-game/9071
9074,2015-10-13,20:45,UEFA EC Qualifiers,France - 2016,Belgium,Israel,3,1,3-1,Israel,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Tasos Sidiropoulos,https://www.rbfa.be/en/international-game/9074
9092,2015-11-13,20:45,International friendly,,Belgium,Italy,3,1,3-1,Italy,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Szymon Marciniak,https://www.rbfa.be/en/international-game/9092
9203,2016-03-29,20:45,International friendly,,Portugal,Belgium,2,1,2-1,Portugal,away,L,true,,,,Marc Wilmots,Stephan Klossner,https://www.rbfa.be/en/international-game/9203
9275,2016-05-28,16:15,International friendly,,Switzerland,Belgium,1,2,1-2,Switzerland,away,W,true,,,Genève,Marc Wilmots,Paolo Silvio Mazzoleni,https://www.rbfa.be/en/international-game/9275
9277,2016-06-01,20:45,International friendly,,Belgium,Finland,1,1,1-1,Finland,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Hugo Miguel,https://www.rbfa.be/en/international-game/9277
9279,2016-06-05,18:00,International friendly,,Belgium,Norway,3,2,3-2,Norway,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Tobias Stieler,https://www.rbfa.be/en/international-game/9279
9295,2016-06-13,21:00,UEFA European Championship,France - 2016,Belgium,Italy,0,2,0-2,Italy,home,L,true,Stade De Lyon,Stade de Lyon,Lyon,Marc Wilmots,Mark Clattenburg,https://www.rbfa.be/en/international-game/9295
9315,2016-06-18,15:00,UEFA European Championship,France - 2016,Belgium,Republic of Ireland,3,0,3-0,Republic of Ireland,home,W,true,Stade De Bordeaux,Stade de Bordeaux,Bordeaux,Marc Wilmots,Cuneyt Cakir,https://www.rbfa.be/en/international-game/9315
9316,2016-06-22,21:00,UEFA European Championship,France - 2016,Sweden,Belgium,0,1,0-1,Sweden,away,W,true,Stade De Nice,Stade de Nice,Nice,Marc Wilmots,Felix Brych,https://www.rbfa.be/en/international-game/9316
9335,2016-06-26,21:00,UEFA European Championship,France - 2016,Hungary,Belgium,0,4,0-4,Hungary,away,W,true,Stadium De Toulouse,Stadium de Toulouse,Toulouse,Marc Wilmots,Milorad Mazic,https://www.rbfa.be/en/international-game/9335
9355,2016-07-01,21:00,UEFA European Championship,France - 2016,Wales,Belgium,3,1,3-1,Wales,away,L,true,Stade Pierre Mauroy,Stade Pierre-Mauroy,Villeneuve-D'Ascq,Marc Wilmots,,https://www.rbfa.be/en/international-game/9355
9396,2016-09-01,20:45,International friendly,,Belgium,Spain,0,2,0-2,Spain,home,L,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Benoit Bastien,https://www.rbfa.be/en/international-game/9396
9398,2016-09-06,20:45,FIFA WC Qualifiers,Russia - 2018,Cyprus,Belgium,0,3,0-3,Cyprus,away,W,true,Gsp Stadion,Gsp Stadion,Nicosia,Roberto Martinez,Felix Zwayer,https://www.rbfa.be/en/international-game/9398
9425,2016-10-07,20:45,FIFA WC Qualifiers,Russia - 2018,Belgium,Bosnia-Herzegovina,4,0,4-0,Bosnia-Herzegovina,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Martin Atkinson,https://www.rbfa.be/en/international-game/9425
9429,2016-10-10,20:45,FIFA WC Qualifiers,Russia - 2018,Gibraltar,Belgium,0,6,0-6,Gibraltar,away,W,true,Estadio Algarve,Estadio Algarve,Faro,Roberto Martinez,Pawel Raczkowski,https://www.rbfa.be/en/international-game/9429
9447,2016-11-09,20:45,International friendly,,Netherlands,Belgium,1,1,1-1,Netherlands,away,D,true,Arena,Arena,Amsterdam,Roberto Martinez,Szymon Marciniak,https://www.rbfa.be/en/international-game/9447
9448,2016-11-13,20:45,FIFA WC Qualifiers,Russia - 2018,Belgium,Estonia,8,1,8-1,Estonia,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Alexandru Tudor,https://www.rbfa.be/en/international-game/9448
9551,2017-03-25,20:45,FIFA WC Qualifiers,Russia - 2018,Belgium,Greece,1,1,1-1,Greece,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Felix Brych,https://www.rbfa.be/en/international-game/9551
9568,2017-03-28,18:00,International friendly,,Russia,Belgium,3,3,3-3,Russia,away,D,true,Fisht Stadium,Stade Ficht,Sotsji,Roberto Martinez,Szymon Marciniak,https://www.rbfa.be/en/international-game/9568
9635,2017-06-05,20:45,International friendly,,Belgium,Czech Republic,2,1,2-1,Czech Republic,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Sandro Schaerer,https://www.rbfa.be/en/international-game/9635
9649,2017-06-09,20:45,FIFA WC Qualifiers,Russia - 2018,Estonia,Belgium,0,2,0-2,Estonia,away,W,true,A Le Coq Arena,A Le Coq Arena,Tallinn,Roberto Martinez,John Beaton,https://www.rbfa.be/en/international-game/9649
9728,2017-08-31,20:45,FIFA WC Qualifiers,Russia - 2018,Belgium,Gibraltar,9,0,9-0,Gibraltar,home,W,true,Stade Maurice Dufrasne,Stade Maurice Dufrasne,Liège,Roberto Martinez,Neil Doyle,https://www.rbfa.be/en/international-game/9728
9750,2017-09-03,20:45,FIFA WC Qualifiers,Russia - 2018,Greece,Belgium,1,2,1-2,Greece,away,W,true,Karaiskaki Stadium,Karaiskaki Stadium,Piraeus,Roberto Martinez,Szymon Marciniak,https://www.rbfa.be/en/international-game/9750
9777,2017-10-07,18:00,FIFA WC Qualifiers,Russia - 2018,Bosnia-Herzegovina,Belgium,3,4,3-4,Bosnia-Herzegovina,away,W,true,Grbavica Stadium,Grbavica Stadium,Bihac,Roberto Martinez,William Collum,https://www.rbfa.be/en/international-game/9777
9779,2017-10-10,20:45,FIFA WC Qualifiers,Russia - 2018,Belgium,Cyprus,4,0,4-0,Cyprus,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Luca Banti,https://www.rbfa.be/en/international-game/9779
9800,2017-11-10,20:45,International friendly,,Belgium,Mexico,3,3,3-3,Mexico,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Paolo Silvio Mazzoleni,https://www.rbfa.be/en/international-game/9800
9803,2017-11-14,20:45,International friendly,,Belgium,Japan,1,0,1-0,Japan,home,W,true,Jan Breydel Stadion,Stade Jan Breydel,Brugge,Roberto Martinez,Danny Makkelie,https://www.rbfa.be/en/international-game/9803
9912,2018-03-27,20:45,International friendly,,Belgium,Saudi Arabia,4,0,4-0,Saudi Arabia,home,W,true,,,Brussel,Roberto Martinez,Matej Jug,https://www.rbfa.be/en/international-game/9912
10078,2018-06-02,20:45,International friendly,,Belgium,Portugal,0,0,0-0,Portugal,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Viktor Kassai,https://www.rbfa.be/en/international-game/10078
10098,2018-06-06,20:45,International friendly,,Belgium,Egypt,3,0,3-0,Egypt,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Anastasios Sidiropoulos,https://www.rbfa.be/en/international-game/10098
10118,2018-06-11,20:45,International friendly,,Belgium,Costa Rica,4,1,4-1,Costa Rica,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Ovidiu Alin Hategan,https://www.rbfa.be/en/international-game/10118
10138,2018-06-18,17:00,FIFA World Cup,Russia - 2018,Belgium,Panama,3,0,3-0,Panama,home,W,true,Fisht Stadium,Stade Ficht,Sochi,Roberto Martinez,Janny Sikazwe,https://www.rbfa.be/en/international-game/10138
10158,2018-06-23,14:00,FIFA World Cup,Russia - 2018,Belgium,Tunisia,5,2,5-2,Tunisia,home,W,true,Spartak Stadium,Spartak Stadium,Moskou,Roberto Martinez,Jair Marrufo,https://www.rbfa.be/en/international-game/10158
10178,2018-06-28,20:00,FIFA World Cup,Russia - 2018,England,Belgium,0,1,0-1,England,away,W,true,Kaliningrad Stadium,Stade de Kaliningrad,Kaliningrad,Roberto Martinez,Damir Skomina,https://www.rbfa.be/en/international-game/10178
10198,2018-07-02,20:00,FIFA World Cup,Russia - 2018,Belgium,Japan,3,2,3-2,Japan,home,W,true,Rostov Arena,Rostov Arena,Rostov-On-Don,Roberto Martinez,Malang Diedhiou,https://www.rbfa.be/en/international-game/10198
10200,2018-07-06,20:00,FIFA World Cup,Russia - 2018,Brazil,Belgium,1,2,1-2,Brazil,away,W,true,Kazan Arena,Kazan Arena,Kazan,Roberto Martinez,Milorad Mazic,https://www.rbfa.be/en/international-game/10200
10201,2018-07-10,20:00,FIFA World Cup,Russia - 2018,France,Belgium,1,0,1-0,France,away,L,true,Saint Petersburg Stadium,Stade de Saint-Pétersbourg,Sint-Petersburg,Roberto Martinez,Andres Cunha,https://www.rbfa.be/en/international-game/10201
10202,2018-07-14,16:00,FIFA World Cup,Russia - 2018,Belgium,England,2,0,2-0,England,home,W,true,Saint Petersburg Stadium,Stade de Saint-Pétersbourg,Sint-Petersburg,Roberto Martinez,Alireza Faghani,https://www.rbfa.be/en/international-game/10202
10238,2018-09-07,20:45,International friendly,,Scotland,Belgium,0,4,0-4,Scotland,away,W,true,Hampden Park,Hampden Park,Glasgow,Roberto Martinez,Luca Banti,https://www.rbfa.be/en/international-game/10238
10239,2018-09-11,20:45,UEFA Nations League,,Iceland,Belgium,0,3,0-3,Iceland,away,W,true,Laugardalsvöllur,Laugardalsvöllur,Reykjavik,Roberto Martinez,Sergei Karasev,https://www.rbfa.be/en/international-game/10239
10318,2018-10-12,20:45,UEFA Nations League,,Belgium,Switzerland,2,1,2-1,Switzerland,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Antonio Mateu Lahoz,https://www.rbfa.be/en/international-game/10318
10300,2018-10-16,20:45,International friendly,,Belgium,Netherlands,1,1,1-1,Netherlands,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Artur Dias,https://www.rbfa.be/en/international-game/10300
10344,2018-11-15,20:45,UEFA Nations League,,Belgium,Iceland,2,0,2-0,Iceland,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Orel Grinfeld,https://www.rbfa.be/en/international-game/10344
10345,2018-11-18,20:45,UEFA Nations League,,Switzerland,Belgium,5,2,5-2,Switzerland,away,L,true,,,Lucerne,Roberto Martinez,Daniele Orsato,https://www.rbfa.be/en/international-game/10345
10465,2019-03-21,20:45,UEFA EC Qualifiers,Euro - 2020,Belgium,Russia,3,1,3-1,Russia,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,Ovidiu Alin Hategan,https://www.rbfa.be/en/international-game/10465
10602,2019-03-24,20:45,UEFA EC Qualifiers,Euro - 2020,Cyprus,Belgium,0,2,0-2,Cyprus,away,W,true,Gsp Stadion,Gsp Stadion,Nicosia,Roberto Martinez,,https://www.rbfa.be/en/international-game/10602
10478,2019-06-08,20:45,UEFA EC Qualifiers,Euro - 2020,Belgium,Kazakhstan,3,0,3-0,Kazakhstan,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/10478
