Date,Lieu,,Hôte,Visiteur,,Score,Compétition,Article,,Vidéo,,Vidéo
22/06/2024,Cologne,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Roumanie,https://ds1.static.rtbf.be/uploader/image/7/5/c/beta_587c37f89497d1ee342b3e71732da95a.png,2-0,Euro 2024,https://www.rtbf.be/article/belgique-roumanie-plus-le-droit-a-l-erreur-il-faut-gagner-et-surtout-marquer-direct-video-18h00-11388910,"<a href=""https://auvio.rtbf.be/media/euro-2024-belgique-roumanie-le-resume-du-match-3210809"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/euro-2024-belgique-roumanie-le-resume-du-match-3210809,200,https://auvio.rtbf.be/media/euro-2024-belgique-roumanie-le-resume-du-match-3210809
17/06/2024,Francfort,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Slovaquie,https://ds1.static.rtbf.be/uploader/image/a/5/6/beta_a304b73b4958334b1b786e25a8346b48.png,0-1,Euro 2024,https://www.rtbf.be/article/belgique-slovaquie-premiere-confrontation-en-competition-et-premiere-victoire-pour-les-diables-rouges-direct-video-et-direct-commente-17h00-11388896,"<a href=""https://auvio.rtbf.be/media/euro-2024-belgique-slovaquie-le-resume-du-match-3208468"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/euro-2024-belgique-slovaquie-le-resume-du-match-3208468,200,https://auvio.rtbf.be/media/euro-2024-belgique-slovaquie-le-resume-du-match-3208468
08/06/2024,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Luxembourg,https://ds1.static.rtbf.be/uploader/image/d/4/2/beta_50101ac18e0c8c67d78f91ec683855bf.png,3-0,Amical,https://www.rtbf.be/article/belgique-luxembourg-repetition-generale-pour-les-diables-rouges-live-video-des-18h-11385202,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-luxembourg-08-juin-2024-3-0-3204740"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-luxembourg-08-juin-2024-3-0-3204740,200,https://auvio.rtbf.be/media/diables-rouges-belgique-luxembourg-08-juin-2024-3-0-3204740
05/06/2024,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Montenegro,https://ds1.static.rtbf.be/uploader/image/7/7/c/beta_99d04f119468f1203c385340d2c535f0.jpg,2-0,Amical,https://www.rtbf.be/article/belgique-montenegro-les-diables-entrent-dans-le-vif-du-sujet-direct-video-19h-11383700,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-montenegro-05-juin-2024-2-0-3203431"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-montenegro-05-juin-2024-2-0-3203431,200,https://auvio.rtbf.be/media/diables-rouges-belgique-montenegro-05-juin-2024-2-0-3203431
26/03/2024,londres,https://ds1.static.rtbf.be/uploader/image/d/b/e/beta_4df9d63afe160603f78bf0117c8f9086.png,Angleterre,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,2-2,Amical,https://www.rtbf.be/article/la-douche-froide-l-angleterre-egalise-a-la-derniere-seconde-et-prive-les-diables-d-une-victoire-de-prestige-2-2-11349392,"<a href=""https://auvio.rtbf.be/media/diables-rouges-angleterre-belgique-26-mars-2024-2-2-3480078"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-angleterre-belgique-26-mars-2024-2-2-3480078,200,https://auvio.rtbf.be/media/diables-rouges-angleterre-belgique-26-mars-2024-2-2-3480078
23/03/2024,Dublin,https://ds1.static.rtbf.be/uploader/image/6/c/8/beta_6113da8b65c42624359cbbc1b82dd069.png,Irlande,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,0-0,Amical,https://www.rtbf.be/article/diables-rouges-une-belgique-experimentale-et-inconsistante-decoit-en-irlande-11347684,"<a href=""https://auvio.rtbf.be/media/journal-televise-sujet-par-sujet-sport-diables-rouges-3172809"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/journal-televise-sujet-par-sujet-sport-diables-rouges-3172809,200,https://auvio.rtbf.be/media/journal-televise-sujet-par-sujet-sport-diables-rouges-3172809
19/11/2023,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Azerbaidjan,https://static-content.rtbf.be/uploader/image/c/4/8/beta_1bd1a9aaea29653df2909c5bbe2a3685.png,5-0,Qualifs Euro 24,https://www.rtbf.be/article/la-belgique-ecrase-lazerbaidjan-avec-un-quadruple-historique-de-romelu-lukaku-5-0-11288188,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-azerbaidjan-19-novembre-2023-5-0-3120753"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-azerbaidjan-19-novembre-2023-5-0-3120753,200,https://auvio.rtbf.be/media/diables-rouges-belgique-azerbaidjan-19-novembre-2023-5-0-3120753
15/11/2023,Louvain,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Serbie,https://ds1.static.rtbf.be/uploader/image/e/3/5/beta_621d05d08b792640f49ce9fb83eb04dd.png,1-0,Amical,https://www.rtbf.be/article/une-belgique-experimentale-bat-la-serbie-1-0-et-rassure-domenico-tedesco-11286435,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-serbie-15-novembre-2023-1-0-3118942"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-serbie-15-novembre-2023-1-0-3118942,200,https://auvio.rtbf.be/media/diables-rouges-belgique-serbie-15-novembre-2023-1-0-3118942
16/10/2023,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Suède,https://ds1.static.rtbf.be/uploader/image/3/0/a/beta_4e75a0b90d067bf56010e4a7fdcaa01e.png,1-1,Qualifs Euro 24,https://www.rtbf.be/article/fusillade-a-bruxelles-le-match-belgique-suede-interrompu-definitivement-le-stade-completement-evacue-11271854,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-suede-16-octobre-2023-1-1-match-arrete-3106172"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-suede-16-octobre-2023-1-1-match-arrete-3106172,200,https://auvio.rtbf.be/media/diables-rouges-belgique-suede-16-octobre-2023-1-1-match-arrete-3106172
13/10/2023,Vienne,https://ds1.static.rtbf.be/uploader/image/b/d/e/beta_7275f874f6e0009d578d68577b51e004.png,Autriche,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,2-3,Qualifs Euro 24,https://www.rtbf.be/article/les-diables-rouges-s-imposent-en-autriche-et-valident-leur-ticket-pour-l-euro-2024-malgre-une-prestation-peu-aboutie-11269671,"<a href=""https://auvio.rtbf.be/media/diables-rouges-autriche-belgique-13-octobre-2023-2-3-3105256"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-autriche-belgique-13-octobre-2023-2-3-3105256,200,https://auvio.rtbf.be/media/diables-rouges-autriche-belgique-13-octobre-2023-2-3-3105256
